date,player,acca_team,method,team,second_team,odds_scored,market_odds,doubled,win
2023-11-04,Dom,JHP,Win,Ipswich,,1.9090909090909092,1.9090909090909092,0,0
2023-11-04,George,JHP,Win,Barcelona,,2.2,2.2,0,1
2023-11-04,Harry,JHP,Win,Palmero,,2.375,2.375,0,0
2023-11-04,Matt,JHP,Win,Hamburg,,1.55,1.55,0,1
2023-11-04,Sandy,JHP,Win,Wolves,,1.95,1.95,0,0
2023-11-04,Will,JHP,Win,Leipzig,,1.65,1.65,0,0
2023-11-04,Ausy,VDL,Win,AC Milan,,1.45,1.45,0,0
2023-11-04,Fraser,VDL,Win,Real Betis,,1.9090909090909092,1.9090909090909092,0,1
2023-11-04,Henry,VDL,Win,Lens,,1.75,1.75,0,0
2023-11-04,Matteo,VDL,Win,Bayer Leverkusen,,1.5,1.5,0,1
2023-11-04,Tom,VDL,Win,West Brom,,1.9090909090909092,1.9090909090909092,0,1
2023-11-11,Dom,JHP,Win,Ipswich,,1.5333333333333332,1.5333333333333332,0,1
2023-11-11,George,JHP,Win,Porto,,1.7272727272727273,1.7272727272727273,0,1
2023-11-11,Harry,JHP,Win,AC Milan,,1.7272727272727273,1.7272727272727273,0,1
2023-11-11,Matt,JHP,Win,CSKA Sofia,,1.5333333333333332,1.5333333333333332,0,0
2023-11-11,Sandy,JHP,Win,Newcastle,,1.8,1.8,0,0
2023-11-11,Will,JHP,Win,Crystal Palace,,2.55,2.55,0,0
2023-11-11,Ausy,VDL,Win,Hull City,,1.8,1.8,0,1
2023-11-11,Fraser,VDL,Win,Portsmouth,,1.7272727272727273,1.7272727272727273,0,0
2023-11-11,Henry,VDL,Win,PSG,,1.55,1.55,0,1
2023-11-11,Matteo,VDL,Win,Real Sociedad,,1.7,1.7,0,1
2023-11-11,Tom,VDL,Win,Wimbledon,,1.85,1.85,0,1
2023-11-25,Dom,JHP,Win,Leicester,,1.6153846153846154,1.6153846153846154,0,1
2023-11-25,George,JHP,Win,Southampton,,1.8333333333333335,1.8333333333333335,0,0
2023-11-25,Harry,JHP,Win,Como,,1.7272727272727273,1.7272727272727273,0,1
2023-11-25,Matt,JHP,Win,Getafe,,1.8,1.8,0,1
2023-11-25,Sandy,JHP,Win,Barcelona,,1.7,1.7,0,0
2023-11-25,Will,JHP,Win,Stockport,,1.65,1.65,0,0
2023-11-25,Ausy,VDL,Win,Sunderland,,2,2,0,0
2023-11-25,Fraser,VDL,Win,Peterborough,,1.5,1.5,0,1
2023-11-25,Henry,VDL,Win,AC Milan,,2.1,2.1,0,1
2023-11-25,Matteo,VDL,Win,Norwich,,1.7,1.7,0,1
2023-11-25,Tom,VDL,Win,West Ham,,2,2,0,1
2023-12-02,Dom,JHP,Win,Southampton,,1.6153846153846154,1.6153846153846154,0,1
2023-12-02,George,JHP,Win,Leeds,,1.6666666666666665,1.6666666666666665,0,1
2023-12-02,Harry,JHP,Win,Venezia,,1.7272727272727273,1.7272727272727273,0,1
2023-12-02,Matt,JHP,Win,Holstein Kiel,,1.8,1.8,0,1
2023-12-02,Sandy,JHP,Win,Brentford,,1.5333333333333332,1.5333333333333332,0,1
2023-12-02,Will,JHP,Win,N/A,,1.95,1.95,0,0
2023-12-02,Ausy,VDL,Win,Genoa,,2.05,2.05,0,0
2023-12-02,Fraser,VDL,Win,Deportes Tolima,,1.85,1.85,0,0
2023-12-02,Henry,VDL,Win,Real Sociedad,,2.2,2.2,0,0
2023-12-02,Matteo,VDL,Win,Stevenage,,1.95,1.95,0,0
2023-12-02,Tom,VDL,Win,Blackburn,,2.5,2.5,0,0
2023-12-08,Dom,JHP,Win,Blackpool,,1.5,1.5,0,1
2023-12-08,George,JHP,Win,Leeds,,1.7272727272727273,1.7272727272727273,0,1
2023-12-08,Harry,JHP,Win,Notts County,,1.75,1.75,0,0
2023-12-08,Matt,JHP,Win,Sporting,,1.6,1.6,0,0
2023-12-08,Sandy,JHP,Win,Wolves,,1.9090909090909092,1.9090909090909092,0,0
2023-12-08,Will,JHP,Win,Hull City,,2.3,2.3,0,0
2023-12-08,Ausy,VDL,Win,Stevenage,,2.05,2.05,0,1
2023-12-08,Fraser,VDL,Win,Real Madrid,,1.7272727272727273,1.7272727272727273,0,0
2023-12-08,Henry,VDL,Win,Lazio,,1.9090909090909092,1.9090909090909092,0,0
2023-12-08,Matteo,VDL,Win,Man United,,1.6,1.6,0,0
2023-12-08,Tom,VDL,Win,Norwich,,1.95,1.95,0,0
2023-12-15,Dom,JHP,Win,Ipswich,,1.53,1.53,0,0
2023-12-15,George,JHP,Win,Everton,,2.2,2.2,0,1
2023-12-15,Harry,JHP,Win,Cremonese,,1.85,1.85,0,0
2023-12-15,Matt,JHP,Win,Caen,,1.75,1.75,0,1
2023-12-15,Sandy,JHP,Win,Oxford United,,1.6153846153846154,1.6153846153846154,0,1
2023-12-15,Will,JHP,Win,Bolton,,1.6666666666666665,1.6666666666666665,0,0
2023-12-15,Ausy,VDL,Win,Hibernian,,2.3,2.3,0,0
2023-12-15,Fraser,VDL,Win,Venezia,,1.75,1.75,0,0
2023-12-15,Henry,VDL,Win,N/A,,1.92,1.92,0,0
2023-12-15,Matteo,VDL,Win,Nice,,2,2,0,0
2023-12-15,Tom,VDL,Win,Stevenage,,1.5714285714285714,1.5714285714285714,0,0
2023-12-22,Dom,JHP,Win,Newcastle,,1.6666666666666665,1.6666666666666665,0,0
2023-12-22,George,JHP,Win,Plymouth,,2.1,2.1,0,0
2023-12-22,Harry,JHP,Win,Venezia,,1.55,1.55,0,0
2023-12-22,Matt,JHP,Win,Sampdoria,,1.6,1.6,0,0
2023-12-22,Sandy,JHP,Win,Wrexham,,1.5,1.5,0,1
2023-12-22,Will,JHP,Win,Bolton,,1.6153846153846154,1.6153846153846154,0,1
2023-12-22,Ausy,VDL,Win,Southampton,,1.8,1.8,0,1
2023-12-22,Fraser,VDL,Win,Fulham,,1.7,1.7,0,0
2023-12-22,Henry,VDL,Win,Juventus,,1.7,1.7,0,1
2023-12-22,Matteo,VDL,Win,Spurs,,1.6666666666666665,1.6666666666666665,0,1
2023-12-22,Tom,VDL,Win,Sunderland,,1.8333333333333335,1.8333333333333335,0,0
2023-12-26,Dom,JHP,Win,Middlesbrough,,1.5333333333333332,1.5333333333333332,0,0
2023-12-26,George,JHP,Win,Cheltenham,,2.2,2.2,0,1
2023-12-26,Harry,JHP,Win,Southampton,,1.5,1.5,0,1
2023-12-26,Matt,JHP,Win,Stevenage,,1.7,1.7,0,1
2023-12-26,Sandy,JHP,Win,Sheffield United,,2.45,2.45,0,0
2023-12-26,Will,JHP,Win,Wrexham,,1.8333333333333335,1.8333333333333335,0,1
2023-12-26,Ausy,VDL,Win,Oxford United,,1.7272727272727273,1.7272727272727273,0,1
2023-12-26,Fraser,VDL,Win,Birmingham,,2.8,2.8,0,0
2023-12-26,Henry,VDL,Win,Aston Villa,,2.75,2.75,0,1
2023-12-26,Matteo,VDL,Win,Bournemouth,,2,2,0,1
2023-12-26,Tom,VDL,Win,Portsmouth,,2.15,2.15,0,0
2023-12-30,Dom,JHP,Win,Wimbledon,,1.5,1.5,0,1
2023-12-30,George,JHP,Win,N/A,,1.9569999999999999,1.9569999999999999,0,0
2023-12-30,Harry,JHP,Win,Inter Milan,,1.6153846153846154,1.6153846153846154,0,0
2023-12-30,Matt,JHP,Win,Hearts,,1.7,1.7,0,0
2023-12-30,Sandy,JHP,Win,AC Milan,,1.53,1.53,0,1
2023-12-30,Will,JHP,Win,Portsmouth,,1.75,1.75,0,0
2023-12-30,Ausy,VDL,Win,Coventry,,1.75,1.75,0,0
2023-12-30,Fraser,VDL,Win,Fiorentina,,2.2,2.2,0,1
2023-12-30,Henry,VDL,Win,Leicester,,1.5714285714285714,1.5714285714285714,0,1
2023-12-30,Matteo,VDL,Win,Preston North End,,2.3,2.3,0,0
2023-12-30,Tom,VDL,Win,N/A,,1.97,1.97,0,0
2024-01-13,Dom,JHP,Win,Dortmund,,1.55,1.55,0,1
2024-01-13,George,JHP,Win,Man City,,1.6666666666666665,1.6666666666666665,0,1
2024-01-13,Harry,JHP,Win,West Brom,,1.8,1.8,0,1
2024-01-13,Matt,JHP,Win,Como,,1.95,1.95,0,1
2024-01-13,Sandy,JHP,Win,Man City,,2.05,2.05,0,1
2024-01-13,Will,JHP,Win,Peterborough,,1.9090909090909092,1.9090909090909092,0,1
2024-01-13,Ausy,VDL,Win,Oxford United,,2.2,2.2,0,1
2024-01-13,Fraser,VDL,Win,Crewe,,1.95,1.95,0,1
2024-01-13,Henry,VDL,Win,Athletic Bilbao,,1.95,1.95,0,1
2024-01-13,Luke,VDL,Win,Grenoble,,1.6666666666666665,1.6666666666666665,0,0
2024-01-13,Matteo,VDL,Win,Northampton,,2.25,2.25,0,0
